gi_no,categories
282299,게임개발(클라이언트);게임개발(모바일);서버;네트워크;엔진
282298,사업기획(국내);전략기획;사업관리;경영분석;정보·빅데이터 분석
282333,BX·브랜드 디자인;마케팅;광고기획
282329,마케팅;홍보;해외 마케팅;번역
282328,마케팅;홍보;해외 마케팅;번역
282343,게임기획
282345,사업관리;영업 관리
282346,법무
283764,회계;경리;총무
282302,마케팅;홍보;해외 마케팅
282303,게임개발(클라이언트);게임기획
282337,총무
282292,게임기획
282263,게임기획
282293,게임기획
282294,게임기획
282285,게임개발(클라이언트);서버
282297,게임개발(모바일);원화;모델링;애니메이션;게임기획
282335,게임개발(모바일);게임기획;영상제작·편집;시스템·DB;전략기획
284156,인터페이스 디자인;모델링;애니메이션;이펙트·FX
284162,총무
284154,게임개발(클라이언트);게임개발(모바일);게임AI 개발;게임기획
284153,게임개발(모바일);인터페이스 디자인;모델링;애니메이션;이펙트·FX
284147,인터페이스 디자인;원화;모델링
284140,게임기획
284135,인터페이스 디자인;원화;BX·브랜드 디자인
284131,게임개발(모바일);게임AI 개발;게임기획
284133,영상제작·편집;홍보;해외 마케팅;프로모션;방송
284134,인터페이스 디자인;모델링;애니메이션;이펙트·FX
284132,게임개발(클라이언트);게임개발(모바일);게임AI 개발;게임기획
284130,인터페이스 디자인;모델링;애니메이션;이펙트·FX
284129,게임개발(클라이언트);게임개발(모바일);게임AI 개발;게임기획
284128,인터페이스 디자인;모델링;애니메이션;이펙트·FX
284124,인터페이스 디자인;원화
284123,인터페이스 디자인;모델링;애니메이션;이펙트·FX
284121,게임개발(모바일);게임AI 개발;플랫폼 개발
284120,게임개발(모바일);게임AI 개발;플랫폼 개발
284119,게임AI 개발;플랫폼 개발;정보·빅데이터 분석;마케팅;통계
284114,사업기획(해외);해외 마케팅;해외영업
284110,게임개발(모바일);사운드 제작
284104,시스템·DB
284105,게임기획
284024,원화
284086,애니메이션
284071,애니메이션
283992,애니메이션
284073,모델링
284054,인터페이스 디자인;원화;이펙트·FX
284043,애니메이션;이펙트·FX;영상제작·편집
284062,게임기획
281634,인터페이스 디자인;원화
284059,모델링
284058,애니메이션
284057,게임개발(클라이언트);게임개발(모바일);게임AI 개발;클라우드
284037,게임기획
281022,게임개발(모바일);게임기획
284045,원화;모델링;사업관리
284040,모델링
281629,보안
284011,인사;교육
283999,이펙트·FX
284001,게임개발(클라이언트);플랫폼 기획;사업관리
283998,원화;모델링;BX·브랜드 디자인
283831,모델링
283812,원화;모델링;이펙트·FX
283732,원화;모델링;애니메이션
283726,원화;모델링;애니메이션
283729,서버;네트워크;시스템·DB
283731,원화;모델링;애니메이션
283727,서버;네트워크;시스템·DB
283230,사운드 제작
283989,원화
283987,서버
283986,게임개발(클라이언트)
283902,게임운영;QA·테스터
283904,원화
282396,게임기획;사업기획(국내)
282394,게임기획;사업기획(국내)
283978,게임기획;사업기획(국내)
283980,애니메이션
283972,게임기획
283962,게임기획
283958,엔진
283957,엔진
278833,게임개발(클라이언트);모델링;애니메이션
283939,원화;모델링;애니메이션;이펙트·FX
283925,애니메이션
283900,네트워크;엔진;시스템·DB;보안;클라우드
283910,마케팅
283899,플랫폼 개발;서버
283896,사업관리
283876,원화;모델링;애니메이션;이펙트·FX
283875,원화;모델링;애니메이션;이펙트·FX
283874,원화;모델링;애니메이션;이펙트·FX
283873,원화;모델링
283871,원화;모델링;애니메이션;이펙트·FX
283870,원화;애니메이션;이펙트·FX
283869,원화;애니메이션
283867,모델링
283866,원화
283865,게임개발(클라이언트)
283864,게임개발(클라이언트)
283863,애니메이션
283834,네트워크;엔진;시스템·DB;보안;클라우드
283843,게임기획
283837,게임기획
283827,게임개발(클라이언트)
283823,게임기획
283824,게임기획
283825,게임기획
282410,사업기획(해외);사업관리;번역
283809,게임AI 개발
283806,애니메이션
283799,QA·테스터
281862,게임기획;게임운영;사업기획(국내);사업관리
281867,마케팅;홍보;광고기획
281870,전략기획;마케팅;홍보;해외 마케팅;광고기획
281871,마케팅;홍보;해외 마케팅;광고기획
